DATE_TIME,OBSERVATORY_NAME,SENSOR_TYPE,MINIMUM_TEMPERATURE,MAXIMUM_TEMPERATURE,AVERAGE_TEMPERATURE,MINIMUM_HUMIDITY,MAXIMUM_HUMIDITY,AVERAGE_HUMIDITY,MINIMUM_WIND,MAXIMUM_WIND,AVERAGE_WIND,MINIMUM_DIRECTIONOFWIND,MAXIMUM_DIRECTIONOFWIND,AVERAGE_DIRECTIONOFWIND,MINIMUM_PRECIPITATION,MAXIMUM_PRECIPITATION,AVERAGE_PRECIPITATION,MINIMUM_ROAD_TEMPERATURE,MAXIMUM_ROAD_TEMPERATURE,AVERAGE_ROAD_TEMPERATURE,MINIMUM_FELT_TEMPERATURE,MAXIMUM_FELT_TEMPERATURE,AVERAGE_FELT_TEMPERATURE
2020-05-20 22:00:00,BUYUKCEKMECE_MGM,AUTOMATED_WEATHER_SENSOR,15.4,16,15.67222,94,97,95.31481,0.1,2.6,1.41111,3,357,280.74074,0,0,0,-99,-99,-99,15.82,18.99,16.80093
2020-05-22 10:00:00,SILIVRI_ORMAN_SAHASI,AUTOMATED_WEATHER_SENSOR,15.1,16.8,16.06102,57,71,64.42373,2.5,7.4,4.70169,2,58,28.52542,-99,-99,-99,-99,-99,-99,14.32,17.21,15.79458
2020-05-21 05:00:00,SILIVRI_ORMAN_SAHASI,AUTOMATED_WEATHER_SENSOR,15.2,16.1,15.62333,90,90,90,4.1,7.9,5.925,7,42,21.8,-99,-99,-99,-99,-99,-99,14.41,15.75,14.958
2020-05-28 22:00:00,SILE_DARLIK,AUTOMATED_WEATHER_SENSOR,9.2,9.8,9.53729,90,90,90,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2020-05-20 09:00:00,CAMLICA_LIBADIYE,ICING_SENSOR,25.97,28.02,26.91667,41.15,50.31,45.82333,1.41,4.05,2.67267,198,286,244.7,0,0,0,41.5,43.8,42.56333,26.54,27.77,27.111
2020-05-30 22:00:00,BESIKTAS_YILDIZ,ICING_SENSOR,15.24,15.71,15.50017,67.11,69.41,68.10288,0,0,0,151,151,151,0,0,0,21.2,22,21.64407,15.24,15.71,15.50288
2020-05-28 20:00:00,BEYKOZ_ANADOLU_FENERI,AUTOMATED_WEATHER_SENSOR,12.3,13.2,12.675,98,100,99.61667,0,3.1,2.13333,29,276,180.7,0,0,0,-99,-99,-99,12.01,15.76,12.91467
2020-05-27 13:00:00,BEYKOZ_ANADOLU_FENERI,AUTOMATED_WEATHER_SENSOR,13.7,14.1,13.94615,100,100,100,2.9,5.8,3.84615,55,84,72.23077,0,0,0,-99,-99,-99,12.58,13.98,13.48769
2020-05-22 08:00:00,BUYUKCEKMECE_MGM,AUTOMATED_WEATHER_SENSOR,12.9,15.8,14.68667,71,83,76.65,2.4,4.8,3.53833,36,82,62.01667,0,0,0,-99,-99,-99,12.47,16.07,14.47717
2020-05-03 07:00:00,BASAKSEHIR,ICING_SENSOR,18.42,19.14,18.82766,66.03,70.89,68.17383,0.219,2.927,1.39551,4,280,130.97872,0,0,0,26,29.5,28.11702,19.27,21.39,20.2366
2020-05-21 14:00:00,ISTOC_MAHMUTBEY,ICING_SENSOR,14.7,16.27,15.32426,90.6,99.4,96.24098,2.61,7.49,4.43033,2,349,58.93443,0,60,10.16667,21.3,25.1,23.04262,13.79,16.43,14.94672
2020-05-24 09:00:00,ISTOC_MAHMUTBEY,ICING_SENSOR,16.48,17.37,16.6982,36.45,45.41,40.53541,0.69,4.13,2.29,31,340,247.59016,0,0,0,38,41.3,39.73934,16.27,19.08,17.34279
2020-05-28 21:00:00,SILE_DARLIK,AUTOMATED_WEATHER_SENSOR,9.3,9.9,9.53833,90,90,90,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2020-05-03 10:00:00,HALIC,ICING_SENSOR,17,17.47,17.20556,70.19,75.64,73.3,0,0,0,223,304,254,0,0,0,24.1,24.9,24.48889,17,17.47,17.20556
